text,word,n,id,name,Comments,CL,keyword,cbdsmokeshop,retailer,RT,Duplicate,Keyword mentioned in post?,Ingestible_edible,Vape,flower_combustible,non_ingestible,delta_8_specific,flavoring_mentioned,tested,amount_of_drug,sale_promotion_or_giveaway,Therapeutic_claim,Effects_mentioned,Naturalness,legal_high,popularity,availability,website,cbdsmokeshop_cl,retailer_cl,RT_cl,Duplicate_cl,Keyword mentioned in post?_cl,Ingestible_edible_cl,Vape_cl,flower_combustible_cl,non_ingestible_cl,delta_8_specific_cl,flavoring_mentioned_cl,tested_cl,amount_of_drug_cl,sale_promotion_or_giveaway_cl,Therapeutic_claim_cl,Effects_mentioned_cl,Naturalness_cl,legal_high_cl,popularity_cl,availability_cl,Website_cl
"Be proud of it!
.
.
.
.
.
.
#delta8 #hempproducts #delta8thc #kacha #hempoil #thcoil #cannabisdeals #thclife #livecolorfully https://t.co/1UpB1HnV6x",cannabis,19168,1.42E+18,Kacha Hemp,hashtag standalone,proud,"not mentioned in post, hashtag standalone",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Hemp Roast, Full Spectrum CBD Coffee 8 oz
This bag of Hakuna “Awaken” Hemp Roast full spectrum CBD coffee. Contains 8oz of ground beans infused with a full https://t.co/EMeNGSs02a #cbdedibles #delta8 https://t.co/QabzMYccIP",edibles,17956,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, drink","product advertising, hashtag standalone ",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Full Spectrum CBD Infused Watermelon Slices use natural CBD hemp extract and deliver yummy CBD gummy taste. CBD Gummies are the #1 choice for many people wanting to https://t.co/HdHHbzQelL #cbdedibles #delta8 https://t.co/9iuI83FMfN,edibles,17956,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, fruit, flabor, natural, yummy, gummy, #1","product advertising, hashtag standalone",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Avid Hemp’s Summertime CBD Oil Tinctures are the SUPERIOR choice. Meticulously handcrafted with care, for one who is looking for the immense variety of health https://t.co/Sew5GFiD8R #cbdedibles #delta8 https://t.co/tSL9Na23G5",edibles,17956,1.40E+18,CBDSmokeShop,"hashtag standalone, tinctures, sale","tincture, superior, handmade, health","not mentioned in post, hashtag standalone",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Sour Diesel Hemp Flower

 CANNABINOIDS: 15.33% CBD | 0% D-9 THC
 STRAIN TYPE: SATIVA | INDOOR
 EFFECTS: UPLIFTED, HAPPY, EUPHORIC

Sour Diesel CBD Flower: https://t.co/wHBTy6XQ16 #cbdedibles #delta8 https://t.co/m6TVXRuBnX",edibles,17956,1.42E+18,CBDSmokeShop,"hashtag standalone, flower","flower, amount of drug, strain, variety, happy","not mentioned in post, hashtag standalone",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity R.A. Royal Gummies – 300MG CBD Infused Sour Bears
CBD Gummies are the #1 CBD choice for many people wanting to take CBD oil (cannabidiol). R.A. Royal Gummies 300mg https://t.co/bCzuuR60vf #cbdedibles #delta8 https://t.co/0nR3FiGfbk",edibles,17956,1.43E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, gymmy, flavor, sour, #1","product advertising, hashtag standalone",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Full Spectrum CBD Infused Watermelon Slices use natural CBD hemp extract and deliver yummy CBD gummy taste. CBD Gummies are the #1 choice for many people wanting to https://t.co/HdHHbzQelL #cbdedibles #delta8 https://t.co/51uLniA9Ef,cbdoil,17504,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, flavor, fruit, natural, yummy, #1","not mentioned in post, hashtag standalone",,,,1,,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity REDUCE LDL CHOLESTEROL NATURALLY (IN JUST 10 DAYS) // Want to lower LDL #cholesterol levels? In this video I will show you how to lower your LDL ...
source https://t.co/IRYy4Z5dy3 #cbdedibles #delta8 https://t.co/GbWlgS4nue",cbdoil,17504,1.44E+18,CBDSmokeShop,"hashtag standalone, health claims ",reduced cholesterol,"not mentionre in post, hashtag standalone",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Persian Tea CBD Vape Oil E-Juice 30ML

A mellow black tea flavored CBD vape juice is infused with our custom blend proprietary cbd formula to deliver the best cbd https://t.co/P7BTAO5x6j #cbdedibles #delta8 https://t.co/lL9mvkkJJP",cbdoil,17504,1.41E+18,CBDSmokeShop,"hashtag standalone, vape, sale","vape, amount of drug, flavor, custom, best","not mentioned in post, hashtag standalone",1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"We have
 Delta 8 #thc! It's legal! https://t.co/j7CoovMIpg use my #couponCode MASSWON for 10% off &amp; #freeShipping

#delta8thc #delta8
#cbd #hempoil #cbdvape #vapingcbd #stress #stressrelief #reviewcbd #cbdreviews #cbd #cbdterps #cbdterpenes #cbdoil #mrbeast https://t.co/9og72lZIPb",cbdoil,17504,1.40E+18,CBD BEAST,"hashtag standalone, sale, legality","availability, legal status, coupon","not mentioned in post, hashtag standalone",0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
